"","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17","2017/18"
"Ethnicity","","","","","","",""
"All","94.5","94.9","94.8","95.0","94.7","94.6","94.6"
"Asian","","","","","","",""
"Bangladeshi","90.4","88.1","92.7","91.6","90.8","90.3","91.0"
"Chinese","93.2","94.2","92.9","94.9","91.9","92.0","93.0"
"Indian","91.8","91.2","91.6","91.2","90.5","91.0","91.6"
"Pakistani","90.4","90.2","91.3","91.2","91.1","91.4","91.2"
"Asian other","90.7","91.7","88.7","90.9","90.2","90.7","90.6"
"Black","","","","","","",""
"Black African","87.2","88.8","88.6","88.1","89.2","88.0","88.4"
"Black Caribbean","94.9","93.2","93.4","93.8","93.0","94.4","93.7"
"Black other","88.2","91.0","89.6","91.0","91.2","90.4","89.9"
"Mixed","","","","","","",""
"Mixed White/Asian","92.6","92.3","94.6","94.3","94.2","94.6","94.1"
"Mixed White/Black African","91.7","86.0","87.8","90.1","88.1","90.0","90.1"
"Mixed White/Black Caribbean","92.0","93.4","91.7","94.8","95.0","92.2","93.0"
"Mixed other","89.4","93.3","91.2","93.9","91.1","91.8","92.9"
"White","","","","","","",""
"White British","95.4","95.7","95.6","95.8","95.6","95.5","95.5"
"White Irish","94.7","94.6","94.1","95.8","95.3","95.4","94.8"
"White Gypsy/Traveller","86.2","87.2","86.2","89.7","87.6","80.8","85.3"
"White other","90.9","91.3","91.6","91.3","90.3","90.5","90.5"
"Other","","","","","","",""
"Arab","90.4","92.5","86.4","88.7","92.3","91.1","91.5"
"Any other","87.2","88.5","88.7","87.6","87.2","88.6","87.0"
"Unknown","91.7","93.0","92.3","92.7","91.6","93.2","92.0"
